Population,Individual,Travel Time Mean,Travel Time Std
0,69,459.8397729535949,427.1705925224501
0,70,446.7757227082541,387.4501001677614
0,71,494.25740242261105,542.1816977692837
0,72,491.346508691852,474.5596142628105
0,73,433.30911922968,340.29442196044977
0,74,563.4719683872561,566.1786402469388
0,75,523.2469246031746,418.45978363079956
0,76,530.6379136400323,475.9783077222323
0,77,438.788416805127,379.9567073402209
0,78,488.0796203796204,407.9354571706641
0,79,398.0886625165063,314.15769888339116
0,80,462.8787542250121,453.6608814866069
0,81,443.572038319264,405.3400246947594
0,82,470.4363487712211,470.9896080474018
0,83,456.15829637048694,347.5283550071142
0,84,565.6669260321937,573.7141966753381
0,85,382.60139235147466,286.71769094478566
0,86,450.40294945831147,367.90707138760195
0,87,486.88209228398034,440.62399746931516
0,88,396.7520591142279,296.6037439920981
0,89,432.44936738852294,333.16116949668907
0,90,511.61677505738334,437.49622846966054
0,91,520.7611199364575,400.5602058123071
0,92,508.7938089221499,636.067538707806
0,93,490.1397019819646,519.6086455573508
0,94,406.0929594779895,326.599049028776
0,95,476.6844080181693,412.2208183697966
0,96,529.5586030087554,602.9675267406224
0,97,455.38813197246617,372.39688219065596
0,98,452.739559712774,360.68973089408036
0,99,505.1851165512533,415.61394865977275
1,0,382.60139235147466,286.71769094478566
1,1,401.69024585909114,296.37956512271745
1,2,483.859407572599,454.088720801069
1,3,450.75894430946596,461.9324110645323
1,4,468.72427885757736,502.73306810738137
1,5,463.99151980291833,391.43453288181774
1,6,443.74283154121866,405.1213192114042
1,7,535.2889134364331,425.8445844932181
1,8,417.5610195186659,332.03485493733416
1,9,448.28731988472623,387.12973443038044
1,10,512.3636363636364,464.6171135082629
1,11,446.9436673509333,473.52228525638924
1,12,458.50630822981367,428.93450247517086
1,13,411.9755229827807,367.9696808680464
1,14,520.3542209745337,428.775548250774
1,15,469.1529973728206,378.48913342375755
1,16,481.85414662305175,382.93686348640546
1,17,506.72894501342347,414.5449330911749
1,18,490.3046794475366,449.660816921987
1,19,498.09598236649634,462.0960532763194
1,20,517.4937589523225,461.8581017930353
1,21,474.3203672623161,364.3432709609226
1,22,415.1513898788311,339.81346382369645
1,23,493.90333750120226,455.81579253832723
1,24,395.43188337644017,291.4946664006026
1,25,495.75517138003397,457.95619998010505
1,26,443.5176520831356,404.6115080263091
1,27,446.2317125542778,472.8746347945579
1,28,443.572038319264,405.3400246947594
1,29,443.572038319264,405.3400246947594
1,30,474.902076567267,378.10859471235676
1,31,454.1146833013436,364.17761084560715
1,32,432.8235989595649,402.4644742872721
1,33,447.4069496601226,444.8544400036774
1,34,531.1876787903556,498.78132216332324
1,35,436.6445012787724,395.48865985454165
1,36,537.2421505168583,545.3782815252163
1,37,461.55688366112673,429.26429785322557
1,38,467.61927639964705,416.94508758869614
1,39,540.0187968108239,555.6531532842022
1,40,453.76019607843136,387.8578971433122
1,41,451.78597156398104,387.2602710185543
1,42,473.68219610091745,454.5129894645945
1,43,501.93191489361703,543.4813088616938
1,44,427.0819734165839,334.5471651801898
1,45,388.19010637296435,291.65361457276947
1,46,467.40308222456207,408.7995812123379
1,47,497.9722491752377,506.3445728137485
1,48,568.0179291321875,502.9359494739705
1,49,463.68049426301855,374.4040671739005
1,50,522.7816557598421,465.0024387037747
1,51,490.4225223930641,487.50276110605387
1,52,591.7041294642858,589.2104114837115
1,53,428.6793167084654,330.35702727874923
1,54,466.7039368505196,442.5083114382545
1,55,456.30204361005184,388.37301490713276
1,56,450.0142954390742,369.31080299820724
1,57,423.125916812568,392.2836100294544
1,58,634.6749574105622,617.8226530595298
1,59,506.1445522080066,429.97825153064144
1,60,408.5702479338843,365.0603626725663
1,61,504.7834161400801,545.6213116901788
